date,close
2024-05-28,306.0
2024-05-29,312.89
2024-05-30,313.96
2024-05-31,315.32
2024-06-03,315.54
2024-06-04,309.41
2024-06-05,309.78
2024-06-06,310.46
2024-06-07,319.46
2024-06-10,319.26
2024-06-11,320.81
2024-06-12,321.17
2024-06-13,317.54
2024-06-14,322.04
2024-06-17,325.2
2024-06-18,328.54
2024-06-19,325.75
2024-06-20,331.32
2024-06-21,326.74
2024-06-24,329.35
2024-06-25,337.88
2024-06-26,334.72
2024-06-27,333.14
2024-06-28,334.01
2024-07-01,332.66
2024-07-02,327.53
2024-07-03,328.27
2024-07-04,324.94
2024-07-05,327.13
2024-07-08,324.32
2024-07-09,330.4
2024-07-10,328.05
2024-07-11,327.38
2024-07-12,330.82
2024-07-15,326.86
2024-07-16,328.17
2024-07-17,333.43
2024-07-18,328.07
2024-07-19,329.23
2024-07-22,330.67
2024-07-23,334.03
2024-07-24,330.01
2024-07-25,325.74
2024-07-26,328.11
2024-07-29,329.67
2024-07-30,331.08
2024-07-31,332.84
2024-08-01,330.86
2024-08-02,332.2
2024-08-05,333.78
2024-08-06,331.66
2024-08-07,339.05
2024-08-08,341.33
2024-08-09,337.39
2024-08-12,340.35
2024-08-13,337.22
2024-08-14,340.67
2024-08-15,345.55
2024-08-16,342.96
2024-08-19,347.14
2024-08-20,349.24
2024-08-21,352.94
2024-08-22,360.92
2024-08-23,360.49
2024-08-26,358.05
2024-08-27,355.1
2024-08-28,352.45
2024-08-29,352.68
2024-08-30,354.54
2024-09-02,356.15
2024-09-03,359.95
2024-09-04,360.54
2024-09-05,366.9
2024-09-06,366.38
2024-09-09,378.08
2024-09-10,380.81
2024-09-11,377.34
2024-09-12,373.04
2024-09-13,375.14
2024-09-16,374.33
2024-09-17,377.39
2024-09-18,379.47
2024-09-19,379.28
2024-09-20,375.88
2024-09-23,369.78
2024-09-24,368.08
2024-09-25,371.67
2024-09-26,372.66
2024-09-27,367.7
2024-09-30,368.51
2024-10-01,370.19
2024-10-02,366.72
2024-10-03,367.45
2024-10-04,367.79
2024-10-07,363.31
2024-10-08,364.85
2024-10-09,367.22
2024-10-10,371.73
2024-10-11,376.18
2024-10-14,370.63
2024-10-15,366.94
2024-10-16,369.13
2024-10-17,371.34
2024-10-18,373.56
2024-10-21,389.85
2024-10-22,392.42
2024-10-23,397.47
2024-10-24,401.78
2024-10-25,404.8
2024-10-28,403.52
2024-10-29,407.02
2024-10-30,403.7
2024-10-31,402.77
2024-11-01,400.74
2024-11-04,401.22
2024-11-05,411.69
2024-11-06,403.44
2024-11-07,406.62
2024-11-08,399.59
2024-11-11,397.64
2024-11-12,402.56
2024-11-13,402.96
2024-11-14,398.33
2024-11-15,395.33
2024-11-18,398.42
2024-11-19,395.35
2024-11-20,396.41
2024-11-21,396.72
2024-11-22,394.01
2024-11-25,403.53
2024-11-26,406.48
2024-11-27,397.64
2024-11-28,398.58
2024-11-29,395.81
2024-12-02,399.66
2024-12-03,396.31
2024-12-04,395.92
2024-12-05,398.25
2024-12-06,402.18
2024-12-09,397.02
2024-12-10,395.69
2024-12-11,393.74
2024-12-12,391.04
2024-12-13,398.83
2024-12-16,400.73
2024-12-17,395.33
2024-12-18,399.46
2024-12-19,409.02
2024-12-20,413.81
2024-12-23,407.07
2024-12-24,405.03
2024-12-25,410.84
2024-12-26,407.78
2024-12-27,409.9
2024-12-30,413.53
2024-12-31,409.46
2025-01-01,409.31
2025-01-02,395.09
2025-01-03,390.78
2025-01-06,389.82
2025-01-07,384.62
2025-01-08,391.7
2025-01-09,385.71
2025-01-10,383.96
2025-01-13,384.63
2025-01-14,390.89
2025-01-15,384.88
2025-01-16,389.95
2025-01-17,390.11
2025-01-20,386.04
2025-01-21,388.12
2025-01-22,389.09
2025-01-23,386.65
2025-01-24,387.06
2025-01-27,385.54
2025-01-28,385.71
2025-01-29,388.22
2025-01-30,394.74
2025-01-31,389.09
2025-02-03,398.01
2025-02-04,389.24
2025-02-05,388.28
2025-02-06,390.49
2025-02-07,391.38
2025-02-10,388.4
2025-02-11,387.2
2025-02-12,384.8
2025-02-13,382.01
2025-02-14,385.29
2025-02-17,386.49
2025-02-18,383.25
2025-02-19,386.75
2025-02-20,387.75
2025-02-21,390.92
2025-02-24,393.32
2025-02-25,389.44
2025-02-26,386.74
2025-02-27,389.62
2025-02-28,391.93
2025-03-03,391.53
2025-03-04,391.72
2025-03-05,396.95
2025-03-06,394.06
2025-03-07,396.12
2025-03-10,394.92
2025-03-11,393.66
2025-03-12,398.13
2025-03-13,401.44
2025-03-14,404.73
2025-03-17,410.25
2025-03-18,410.02
2025-03-19,412.78
2025-03-20,411.04
2025-03-21,412.18
2025-03-24,411.26
2025-03-25,411.37
2025-03-26,413.74
2025-03-27,409.71
2025-03-28,418.91
2025-03-31,413.97
2025-04-01,408.15
2025-04-02,413.05
2025-04-03,416.33
2025-04-04,418.86
2025-04-07,421.43
2025-04-08,421.04
2025-04-09,416.57
2025-04-10,416.58
2025-04-11,413.16
2025-04-14,417.28
2025-04-15,416.27
2025-04-16,412.18
2025-04-17,410.4
2025-04-18,411.94
2025-04-21,409.06
2025-04-22,405.06
2025-04-23,405.82
2025-04-24,406.59
2025-04-25,404.0
2025-04-28,401.6
2025-04-29,402.3
2025-04-30,395.63
2025-05-01,389.24
2025-05-02,385.86
2025-05-05,384.65
2025-05-06,385.66
2025-05-07,391.66
2025-05-08,395.05
2025-05-09,394.04
2025-05-12,393.65
2025-05-13,389.02
2025-05-14,388.63
2025-05-15,387.08
2025-05-16,388.15
2025-05-19,384.33
2025-05-20,386.64
2025-05-21,393.34
2025-05-22,392.98
2025-05-23,394.84
2025-05-26,397.97
2025-05-27,396.34
2025-05-28,397.44
2025-05-29,397.61
2025-05-30,398.16
2025-06-02,394.9
2025-06-03,395.13
2025-06-04,397.42
2025-06-05,403.93
2025-06-06,408.34
2025-06-09,418.25
2025-06-10,414.86
2025-06-11,418.99
2025-06-12,419.96
2025-06-13,430.33
2025-06-16,426.65
2025-06-17,422.85
2025-06-18,420.2
2025-06-19,410.62
2025-06-20,408.37
2025-06-23,405.1
2025-06-24,405.89
2025-06-25,407.54
2025-06-26,416.16
2025-06-27,420.66
2025-06-30,418.13
2025-07-01,414.14
2025-07-02,416.51
2025-07-03,410.63
2025-07-04,419.11
2025-07-07,424.71
2025-07-08,422.65
2025-07-09,414.89
2025-07-10,421.24
2025-07-11,420.84
2025-07-14,426.73
2025-07-15,419.44
2025-07-16,416.81
2025-07-17,416.96
2025-07-18,417.3
2025-07-21,415.36
2025-07-22,418.34
2025-07-23,413.58
2025-07-24,413.06
2025-07-25,413.73
2025-07-28,416.2
2025-07-29,419.6
2025-07-30,414.57
2025-07-31,407.75
2025-08-01,413.65
2025-08-04,415.29
2025-08-05,412.0
2025-08-06,419.22
2025-08-07,419.88
2025-08-08,425.49
2025-08-11,425.93
2025-08-12,435.83
2025-08-13,444.46
2025-08-14,443.38
2025-08-15,448.28
2025-08-18,451.6
2025-08-19,458.59
2025-08-20,453.89
2025-08-21,457.46
2025-08-22,462.96
2025-08-25,454.22
2025-08-26,448.49
2025-08-27,438.67
2025-08-28,437.5
2025-08-29,441.1
2025-09-01,448.59
2025-09-02,449.09
2025-09-03,457.34
2025-09-04,450.59
2025-09-05,442.35
2025-09-08,442.22
2025-09-09,444.22
2025-09-10,444.2
2025-09-11,434.34
2025-09-12,434.04
2025-09-15,427.99
2025-09-16,431.28
2025-09-17,433.15
2025-09-18,428.83
2025-09-19,426.54
2025-09-22,421.72
2025-09-23,421.56
2025-09-24,426.14
2025-09-25,421.67
2025-09-26,424.14
2025-09-29,421.8
2025-09-30,418.26
2025-10-01,417.9
2025-10-02,413.29
2025-10-03,410.9
2025-10-06,405.65
2025-10-07,414.63
2025-10-08,414.92
2025-10-09,411.86
2025-10-10,412.96
2025-10-13,412.57
2025-10-14,411.69
2025-10-15,414.61
2025-10-16,418.2
2025-10-17,415.89
2025-10-20,413.39
2025-10-21,412.26
2025-10-22,402.08
2025-10-23,395.55
2025-10-24,401.66
2025-10-27,409.12
2025-10-28,408.12
2025-10-29,410.84
2025-10-30,412.38
2025-10-31,426.71
2025-11-03,432.13
2025-11-04,431.65
2025-11-05,427.26
2025-11-06,419.91
2025-11-07,420.97
2025-11-10,417.61
2025-11-11,411.25
2025-11-12,408.46
2025-11-13,403.75
2025-11-14,411.44
2025-11-17,415.57
2025-11-18,415.66
2025-11-19,422.61
2025-11-20,423.09
2025-11-21,419.23
2025-11-24,426.44
2025-11-25,429.1
2025-11-26,424.36
2025-11-27,423.6
2025-11-28,419.67
2025-12-01,413.46
